"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"16/09/2015,PUERTO ISAACS,7,17.1,178,0.114"
"16/09/2015,PASO DE LA TORRE,6.96,43.6,203,0.114"
"16/09/2015,VIJES,7.22,145,192,0.114"
"16/09/2015,YOTOCO,7.23,40,198,0.114"
"16/09/2015,MEDIACANOA,7.21,21.2,194,0.114"
"16/09/2015,RIOFRIO,7.26,11.4,206,0.114"
"16/09/2015,PUENTE GUAYABAL,7.2,47.2,196,0.548"
"16/09/2015,LA VICTORIA,7.21,22,209,0.624"
"16/09/2015,ANACARO,7.26,36.8,197,0.927"
"16/09/2015,PUENTE LA VIRGINIA,7.35,31.3,205,1.34"
"30/03/2016,ANTES SUAREZ,6.76,11.6,,"
"30/03/2016,ANTES RIO OVEJAS,6.72,11.6,,"
"30/03/2016,ANTES RIO TIMBA,7.11,11.6,,"
"30/03/2016,PASO DE LA BALSA,7.33,11.6,,"
"30/03/2016,PASO DE LA BOLSA,7.41,20.5,,"
"30/03/2016,PUENTE HORMIGUERO,7.49,36,,"
"30/03/2016,ANTES INTERCEPTOR SUR,7.38,27,,"
"30/03/2016,JUANCHITO,7.22,24,,"
"30/03/2016,PASO DEL COMERCIO,7.35,50,,"
"30/03/2016,PUERTO ISAACS,7.24,27,,"
"30/03/2016,PASO DE LA TORRE,7.34,18,,"
"30/03/2016,VIJES,7.27,43,,"
"30/03/2016,YOTOCO,7.22,21,,"
"30/03/2016,MEDIACANOA,7.08,20,,"
"30/03/2016,RIOFRIO,7.23,26,,"
"30/03/2016,PUENTE GUAYABAL,7.19,40,,"
"30/03/2016,LA VICTORIA,7.18,25,,"
"30/03/2016,ANACARO,7.19,50,,"
"30/03/2016,PUENTE LA VIRGINIA,7.14,28,,"
"8/09/2016,ANTES SUAREZ,6.36,11.6,119,0.72"
"8/09/2016,ANTES RIO OVEJAS,7.04,11.6,94.2,0.7"
"8/09/2016,ANTES RIO TIMBA,7.32,11.6,93.4,0.61"
"8/09/2016,PASO DE LA BALSA,7.65,11.6,94.9,0.57"
"8/09/2016,PASO DE LA BOLSA,7.1,18.3,95.4,0.58"
